Age	Poids (Kg)	Taille (cm)	Fumeur	Sexe
70	84,5	168	Oui	M
76	91,1	175	Non	F
63	76,4	161	Non	F
35	56	145	Oui	M
62	74,3	139	Non	M
53	64	184	Oui	M
81	98	102	Non	M
23	63	172	Oui	F
73	88,1	161	Non	M
80	95,6	186	Oui	M
34	40,9	191	Non	F
20	72	165	Oui	M
80	96,2	172	Non	F
51	61,8	174	Non	F
39	46,5	161	Non	F
39	46,7	170	Oui	M
33	39,6	160	Non	M
62	75,1	191	Non	F
75	90,5	157	Non	M
53	63,4	153	Oui	M
81	97,3	167	Non	M
40	47,9	180	Non	M
60	71,6	183	Oui	F
36	43,3	176	Oui	F
10	31,5	141	Non	M
6	12,5	118	Non	F
52	62,3	193	Oui	M
15	62	153	Oui	F
12	36	145	Oui	M
56	67,4	201	Oui	F
23	65	173	Non	F
36	43,2	153	Non	F
41	48,9	162	Oui	M
19	80	162	Non	M
65	78,4	111	Oui	F
25	30,2	135	Oui	F
64	76,4	109	Non	F
53	64,1	168	Oui	M
71	85,7	167	Non	F
39	46,7	190	Oui	F
7	32	130	Non	M
35	41,8	143	Oui	F
17	62	174	Non	F
22	59	163	Non	M
63	75,7	143	Non	F
67	80,8	192	Non	M
56	66,8	198	Non	F
72	86,9	133	Oui	F
73	88,3	113	Non	F
43	51,8	139	Non	F
51	60,9	142	Oui	F
14	50	152	Oui	M
51	61,2	193	Non	M
9	32	140	Non	M
34	40,8	141	Oui	F
62	74,5	171	Non	F
6	13,8	120	Non	F
44	53,5	127	Oui	M
24	28,8	193	Oui	M
6	16,2	122	Non	M
42	50,1	122	Oui	M
66	79,2	195	Non	M
9	42	138	Non	F
22	63	176	Non	M
69	82,4	173	Oui	F
32	38,2	181	Oui	F
23	78	182	Oui	M
15	53	163	Non	F
56	67,7	116	Oui	M
32	38,5	144	Oui	M
9	43	136	Non	F
30	35,9	182	Non	M
81	97	181	Non	F
13	45	152	Non	F
11	38	140	Non	F
81	97	136	Oui	F
9	35	132	Non	F
19	81	179	Oui	F
19	59	124	Non	M
21	86	169	Non	F
69	82,9	102	Oui	F
9	35	131	Non	M
28	34,4	199	Non	F
72	86	114	Oui	M
33	40,2	129	Oui	F
19	63	158	Oui	M
50	59,9	156	Oui	M
15	58	175	Non	F
60	72,7	115	Oui	F
38	46,3	184	Oui	M
11	46	142	Non	M
58	70,1	193	Oui	F
62	74	202	Non	F
56	67,7	151	Non	F
26	32	201	Oui	F
23	76	180	Oui	F
49	58,8	188	Non	F
42	50,3	151	Oui	F
56	66,9	142	Oui	F
63	76,2	160	Non	F
14	51	154	Oui	M
10	43	135	Non	M
73	87,9	109	Non	F
38	46,1	203	Non	M
12	46	142	Non	M
67	81	151	Oui	F
32	38,1	181	Oui	M
65	78,4	199	Oui	F
28	33,4	190	Non	F
78	93,4	106	Non	M
82	98,8	145	Non	M
44	52,4	113	Non	M
46	55	177	Non	M
69	83,6	110	Oui	F
16	56	168	Oui	M
10	35	136	Non	F
52	62,8	126	Non	F
77	93,2	190	Oui	M
8	32	123	Non	M
24	28,6	173	Oui	M
25	30,8	117	Non	F
32	39	195	Non	F
82	98	128	Non	M
56	67,2	188	Oui	F
17	71	167	Oui	F
72	86,9	165	Oui	F
73	87,4	176	Oui	M
61	73,5	107	Oui	M
68	82,4	154	Oui	M
26	31,6	199	Oui	M
59	71,1	123	Oui	M
63	76,1	175	Non	M
63	75,8	170	Oui	F
12	42	148	Oui	F
9	38	133	Non	F
68	82,3	129	Non	M
53	63,6	114	Oui	M
37	44	203	Non	M
33	39,8	137	Oui	M
17	78	170	Non	F
43	52,4	148	Oui	M
71	85,1	103	Non	M
41	49,6	160	Non	F
53	64,2	145	Oui	M
32	38,3	123	Non	M
44	53,2	192	Non	M
47	56	177	Non	F
77	93,1	152	Oui	M
68	81,4	152	Oui	F
68	81,9	125	Oui	M
80	96	142	Oui	M
26	30,8	136	Non	M
76	90,9	202	Non	M
24	29,5	115	Non	M
10	46	137	Non	M
15	61	172	Non	M
36	43	185	Non	M
58	69,8	161	Oui	M
31	37,2	157	Non	M
54	64,8	129	Oui	F
7	33	128	Non	F
43	52	160	Oui	M
27	32,4	171	Non	F
51	61	140	Oui	M
43	51,5	137	Non	F
6	20	123	Non	F
6	22	131	Non	F
26	30,8	186	Oui	F
38	46,1	151	Non	M
53	63,4	202	Oui	M
20	83	196	Oui	M
11	48	146	Non	M
82	99,2	120	Non	F
9	39	141	Non	F
33	40,1	118	Non	F
43	51,4	189	Non	M
63	75,9	186	Oui	F
81	97,3	111	Non	F
6	23	129	Non	M
20	92	174	Oui	F
12	39	141	Non	M
68	81,9	171	Non	M
58	69,7	161	Non	M
48	57,6	166	Oui	F
82	98,9	163	Non	F
41	49,7	176	Non	F
38	45,8	171	Oui	F
67	80,4	113	Non	F
47	56,2	149	Non	M
19	75	185	Non	M
62	75,2	104	Oui	M
74	89,5	113	Oui	F
54	65,3	131	Non	M
21	72	166	Non	F
43	52	130	Oui	F
26	31,1	124	Non	F
52	63,1	149	Oui	F
21	78	163	Non	M
76	91,6	108	Non	F
55	65,6	129	Non	M
26	31,9	146	Non	M
39	47,1	104	Non	M
14	48	160	Oui	F
6	24	128	Non	F
50	59,7	178	Non	M
43	51,6	189	Non	F
15	58	173	Non	M
12	45	139	Non	F
11	41	136	Non	F
40	48,4	198	Non	F
21	96	201	Oui	F
12	48	142	Non	M
76	91,5	124	Non	M
58	69,3	158	Oui	M
19	82	195	Non	F
38	45,8	152	Non	M
59	70,5	151	Oui	M
54	64,4	159	Oui	M
38	45,9	182	Oui	F
79	95,4	154	Non	F
9	34	142	Non	M
18	59	176	Oui	M
69	83,5	203	Non	F
44	53,2	158	Non	M
76	90,8	186	Non	F
62	74,7	113	Non	M
49	59,4	128	Non	F
27	32,5	197	Non	M
68	81,6	128	Non	F
69	83,3	134	Oui	M
49	58,5	148	Non	F
66	79,7	190	Oui	M
66	79,8	169	Non	M
17	64	155	Oui	M
45	54,5	184	Oui	M
6	31	136	Non	F
38	45,9	174	Oui	F
72	86,6	136	Oui	M
70	84,5	175	Oui	M
36	43,7	126	Non	F
49	58,6	151	Oui	F
36	43,6	126	Oui	F
79	95,4	105	Oui	F
38	45,9	147	Oui	M
21	72	167	Non	M
79	95,3	154	Oui	M
8	33	124	Non	M
25	30,3	143	Non	M
15	70	170	Non	M
59	71,1	143	Non	M
49	59	100	Non	M
34	41,4	115	Non	M
68	81,2	200	Oui	M
26	31,3	130	Non	M
8	41	132	Non	F
41	49,8	104	Oui	F
13	43	159	Non	M
60	71,8	192	Non	F
76	92	149	Non	M
58	69,6	115	Non	M
21	70	172	Non	F
66	79,4	121	Oui	F
37	44,9	147	Non	M
52	62,8	130	Oui	F
49	58,6	116	Non	M
29	35	157	Oui	M
81	97,5	130	Oui	M
53	63,2	128	Non	F
14	46	172	Non	M
61	73,4	185	Oui	M
24	28,7	153	Non	F
40	47,9	122	Oui	F
37	44,8	122	Oui	F
49	59,3	179	Oui	F
24	29	116	Oui	M
43	52	139	Non	F
25	30,7	145	Non	M
81	97,5	155	Oui	F
49	59	190	Non	F
43	51,8	138	Non	M
29	35,6	184	Non	M
71	84,9	180	Oui	F
42	50	107	Oui	M
35	42,5	111	Oui	F
13	52	149	Non	F
73	87,2	186	Non	F
37	45	102	Non	M
68	81,7	162	Oui	F
29	35,6	119	Oui	F
8	40	128	Non	F
13	51	153	Non	M
10	45	138	Non	F
27	32,8	141	Oui	F
69	83,3	135	Non	F
48	57,8	105	Non	M
8	35	136	Non	F
10	42	142	Non	F
64	77,2	205	Oui	M
22	72	186	Non	F
77	93	170	Non	F
53	64	180	Non	M
29	34,5	127	Oui	F
