common.name,latin,size.cm,wingspan.cm,weight.g
Barn Owl,Tyto alba,43,110,460
Barred Owl,Strix varia,54,120,720
Boreal Owl,Aegolius funereus,25,50,135
Burrowing Owl,Athene cunicularia,25,60,155
Flammulated Owl,Otus flammeolus,16,40,60
Great-Grey Owl,Strix nebulosa,71,145,1080
Great Horned Owl,Bubo virginianus,52,110,1400
Long-eared Owl,Asio otus,36,100,260
Northern Hawk Owl,Surnia ulula,38.5,70,320
Northern Pygmy Owl,Glaucididium gnoma,18.5,30,70
Northern Saw-whet Owl,Aegolius acadicus,18.5,40,80
Short-eared Owl,Asio flammeus,37,100,350
Snowy Owl,Nyctea scandiaca,58.5,130,1830
Spotted Owl,Strix occidentalis,43.5,110,610
